Segmental innervation	FMA:63492
Cervical segmental innervation	FMA:63495
C1	FMA:63493
C2	FMA:63494
C3	FMA:63496
C4	FMA:63497
C5	FMA:63498
C6	FMA:63499
C7	FMA:63500
C8	FMA:63501
Lumbar segmental innervation	FMA:63515
L1	FMA:63516
L2	FMA:63517
L3	FMA:63518
L4	FMA:63519
L5	FMA:63520
Sacral segmental innervation	FMA:63521
S1	FMA:63522
S2	FMA:63523
S3	FMA:63524
S4	FMA:63525
S5	FMA:63526
Thoracic segmental innervation	FMA:63502
T1	FMA:63503
T10	FMA:63512
T11	FMA:63513
T12	FMA:63514
T2	FMA:63504
T3	FMA:63505
T4	FMA:63506
T5	FMA:63507
T6	FMA:63508
T7	FMA:63509
T8	FMA:63510
T9	FMA:63511
